,compounds,id,label
54,[H][C@@]12CC[C@@](C)(O)[C@H](CC[C@@](C)(O)C=C)[C@@]1(C)CCCC2(C)C,NCGC00256908-01,0
55,CC1=CC(=C(O)C(CC2=C(O)C(=CC(C)=C2)C(C)(C)C)=C1)C(C)(C)C,NCGC00259079-01,0
56,CC(C)(C1=CC=CC=C1)C2=CC(=C(O)C=C2)C(C)(C)C3=CC=CC=C3,NCGC00254226-01,0
57,Cl.CCCCCCCCCCOCC(O)CN,NCGC00166070-01,0
58,CC(C)(C)CC(C)(C)C1=CC=C(O)C(CC2=CC=C(Cl)C=C2Cl)=C1,NCGC00095016-01,0
59,CSC1=CC2=C(SC3=CC=CC=C3N2CCC4CCCCN4C)C=C1,NCGC00016059-05,0
60,CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C2=CN=C(C=C2C3=CC=C(F)C=C3C)N4CC[C@@H](O)[C@H]4CO,NCGC00257342-01,0
61,NC1=NC(N)=C2N=C(C3=CC=CC=C3)C(N)=NC2=N1,NCGC00259570-01,1
62,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C5=CC(=O)OC5)[C@@]1(C)CC[C@@H](C2)O[C@H]6C[C@H](O)[C@H](O[C@H]7C[C@H](O)[C@H](O[C@H]8C[C@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@@H](C)O8)[C@@H](C)O7)[C@@H](C)O6,NCGC00159441-02,0
63,O=C1C=CC(=O)N1C2=CC=C(CC3=CC=C(C=C3)N4C(=O)C=CC4=O)C=C2,NCGC00255770-01,0
64,[Br-].CCCCCCCCCCCC[N+](C)(C)C,NCGC00255995-01,0
65,[Cl-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,NCGC00257543-01,0
66,[Cl-].CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C(=O)OC[C@H](COC(=O)N(CC2=[N+](CC)C=CC=C2)C(=O)C3=CC=CC=C3OC)OC,NCGC00183020-01,0
67,COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OCC(C)C,NCGC00255136-01,1
68,Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2,NCGC00015889-05,0
69,ClC1=C(COC(CN2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=CS1,NCGC00167430-01,0
70,[H][C@]4(C[C@H]1C[C@]2([H])N(CCC3=C2C=C(OC)C(OC)=C3)C[C@@H]1CC)NCCC5=CC(OC)=C(OC)C=C45,NCGC00024379-04,0
71,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCN1C=C[N+](C)=C1,NCGC00258148-01,0
72,O=C1C2=C(SC(C#N)=C(S2)C#N)C(=O)C3=C1C=CC=C3,NCGC00255557-01,1
73,[H][C@@]4(C[C@@H](C)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O1)OC)CC[C@@H](O)[C@@H](C4)OC,NCGC00021305-05,0
74,OC1=C(\C=N\NC(=O)C2=CC=NC=C2)C=CC=C1,NCGC00160648-01,1
75,CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C4=CC=CC=C4)C(O)=O)C=C2)N=C(O1)C5=CC=CC=C5,NCGC00254050-01,0
76,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C5=CC(=O)OC5)[C@@]1(C)CC[C@@H](C2)O[C@H]6C[C@H](O)[C@H](O[C@H]7C[C@H](O)[C@H](O[C@H]8C[C@H](OC(C)=O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@@H](C)O8)[C@@H](C)O7)[C@@H](C)O6,NCGC00094932-01,0
77,CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,NCGC00257297-01,0
78,COC1=CC(C=C2CCCC(=CC3=CC=C(O)C(OC)=C3)C2=O)=CC=C1O,NCGC00164486-01,0
79,[Cl-].NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1.C[N+]4=C5C=C(N)C=CC5=CC6=C4C=C(N)C=C6,NCGC00094813-01,1
80,CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,NCGC00257038-01,1
81,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,NCGC00254705-01,0
82,CCC(C)(NC(=O)C1=CC(Cl)=C(C)C(Cl)=C1)C(=O)CCl,NCGC00254845-01,0
83,OC1=C(I)C=C(C=C1I)[N+]([O-])=O,NCGC00166241-01,0
84,NC1=CC=C2C3=CC=CC=C3C4=C2C1=CC=C4,NCGC00260454-01,1
85,[H][C@@]12CCC3=C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]4(C)[C@H](CC[C@]24O)C5=COC(=O)C=C5)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O,NCGC00016447-01,0
86,CCCCCCCCCCCCN1CCCC1=O,NCGC00254270-01,1
87,OC1=C(Cl)C=C(Cl)C=C1SC2=C(O)C(Cl)=CC(Cl)=C2,NCGC00256573-01,0
88,[Br-].CCCCCCCCCCCCCC[N+]1=CC=CC=C1,NCGC00255864-01,0
89,[I-].CCCCCCCCCCCCN1C=C[N+](C)=C1,NCGC00260180-01,0
90,CC\C(C1=CC=CC=C1)=C(/C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,NCGC00254455-01,0
91,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C2=CC=CC=C2)\C3=CC=CC=C3,NCGC00255310-01,0
92,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]4(C)[C@H](CC[C@]24O)C5=CC(=O)OC5)O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O,NCGC00163473-01,0
93,ClC1=CC=CC(NN=C(C#N)C#N)=C1,NCGC00255699-01,0
94,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C2=CC=CC=C2)C3=CC=CC=C3,NCGC00255219-01,0
95,[H][C@]12C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@]3([H])C\C(C[C@@]([H])(O3)\C=C\C(C)(C)[C@]4(O)O[C@@]([H])(C\C(=C/C(=O)OC)[C@@H]4OC(=O)\C=C\C=C\CCC)C[C@@]([H])(OC(=O)C[C@H](O)C1)[C@@H](C)O)=C\C(=O)OC)O2,NCGC00181150-01,0
96,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C4=CC=C(OC(F)(F)F)C=C4,NCGC00254629-01,0
97,CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,NCGC00258196-01,0
98,[Cl-].CCCCCCCCCCCCCC[N+]1=CC=C(C)C=C1,NCGC00181085-01,0
99,Cl.CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C3=C1C=CC=C3,NCGC00092386-03,0
100,CS(O)(=O)=O.[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(N)=O)NC(=O)C4=NC5=C(C=CC=C5)C=C4)[C@@H](C2)C(=O)NC(C)(C)C,NCGC00091469-01,0
101,CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C4=C1N=CN=C4N,NCGC00188346-01,1
102,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C,NCGC00164283-01,0
103,[Na+].CC(C)(O)C1=C(CC[C@@H](SCC2(CC([O-])=O)CC2)C3=CC(\C=C\C4=NC5=CC(Cl)=CC=C5C=C4)=CC=C3)C=CC=C1,NCGC00164568-01,1
104,CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C3CCCCC3)C4=CC(Cl)=C(Cl)C=C4)C(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,NCGC00254253-01,0
105,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4,NCGC00016064-06,0
106,OC1=CC=C([Hg]Cl)C=C1,NCGC00181142-01,0
107,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,NCGC00015817-05,0
108,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,NCGC00160514-01,0
109,CCCOC\C(N1C=CN=C1)=N/C2=C(C=C(Cl)C=C2)C(F)(F)F,NCGC00254770-01,0
110,FC1=CC=C(C=C1)N2C=C(C3CCN(CCN4CCNC4=O)CC3)C5=C2C=CC(Cl)=C5,NCGC00181782-01,0
111,CC1=CC=C(C=C1)S(O)(=O)=O.CNC(=O)C2=CC(OC3=CC=C(NC(=O)NC4=CC=C(Cl)C(=C4)C(F)(F)F)C=C3)=CC=N2,NCGC00167488-01,0
112,[Br-].CCCCCCCCCCCCCC[N+](C)(C)C,NCGC00255707-01,0
113,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C,NCGC00260104-01,0
114,O.O.[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,NCGC00166405-01,0
115,[H][C@@]12[C@H]3OCC14CCCC(C)(C)[C@]4([H])CC[C@]2(C)OC5=C3C(O)=CC(C)=C5,NCGC00181099-01,0
116,Cl.CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl,NCGC00094434-01,0
117,Cl.Cl.CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1,NCGC00013226-01,0
118,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,NCGC00181134-01,0
119,FC1=CC=C(C=C1)C(CCCN2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4)C5=CC=C(F)C=C5,NCGC00015424-04,0
120,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)(F)F,NCGC00259513-01,0
121,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,NCGC00259505-01,0
122,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O,NCGC00181022-01,0
123,[O-][N+](=O)C1=CN=C(NC(=O)C2=CC=CS2)S1,NCGC00160655-01,1
124,CCCCCCCCN1SC=CC1=O,NCGC00259010-01,0
125,CCCCCCCCCCCCN1CCCCCC1=O,NCGC00255788-01,0
126,CS(O)(=O)=O.CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)\C=C2/SC(=N)NC2=O,NCGC00254170-01,0
127,OS(O)(=O)=O.NC1=CC2=NC3=CC(N)=CC=C3C=C2C=C1.NC4=CC5=NC6=CC(N)=CC=C6C=C5C=C4,NCGC00166245-01,1
128,OC1=CC=C(C=C1)C2(C3=C(C=CC=C3)C4=C2C=CC=C4)C5=CC=C(O)C=C5,NCGC00255689-01,0
129,CCCCCCCCCCCCCCN(CCO)CCO,NCGC00256057-01,0
130,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1,NCGC00167496-01,1
131,[Na+].CC1(CC(=O)C2=C(C=CC=C2)C1=O)S([O-])(=O)=O,NCGC00160478-01,1
132,C\C(=C/C1=CC=CC=C1)[N+]([O-])=O,NCGC00257343-01,0
133,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@]([H])(C[C@]7(O6)O[C@]([H])(C(C)CC)[C@@H](C)C=C7)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,NCGC00181798-01,0
134,CCOC(=O)C1=C(C)NC(C)=C(C1C2=C(\C=C\C(=O)OC(C)(C)C)C=CC=C2)C(=O)OCC,NCGC00164545-01,1
135,Cl.CN1CC[C@@H]([C@H](O)C1)C2=C3OC(=CC(=O)C3=C(O)C=C2O)C4=C(Cl)C=CC=C4,NCGC00014961-02,0
136,O.Cl.NC1=C2C=CC=CC2=NC3=C1C=CC=C3,NCGC00091950-01,1
137,CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C2=C(Cl)C=C(Cl)C=C2,NCGC00254561-01,0
138,ClC1CC2C(C1Cl)C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl,NCGC00257844-01,0
139,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,NCGC00254940-01,0
140,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,NCGC00015273-11,0
141,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@H](C[C@]7(O6)O[C@]([H])(C8CCCCC8)[C@@H](C)C=C7)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,NCGC00185761-01,0
142,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]4([H])N(CCC5=C4NC6=C5C=CC=C6)C2,NCGC00168786-01,1
143,NC1=CC=C(N)C2=CC=CC=C12,NCGC00260446-01,1
144,CC(=O)OC(OC(C)=O)C1=CC=C(O1)[N+]([O-])=O,NCGC00258281-01,0
145,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H](CC[C@]34O)C5=CC(=O)OC5)[C@@]1(C)CCC(C2)O[C@H]6C[C@H](O)[C@H](O[C@H]7C[C@H](O)[C@H](O[C@H]8C[C@H](OC(C)=O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@@H](C)O8)[C@@H](C)O7)[C@@H](C)O6,NCGC00160523-01,0
146,CC1=CC(=O)C2=C(C=CC=C2)C1=O,NCGC00255225-01,1
147,OC(=O)CCC(O)=O.CC(=O)NC1(CCN(CC[C@]2(CN(C(=O)CO2)C3=CC=CC=C3)C4=CC=C(Cl)C(Cl)=C4)CC1)C5=CC=CC(F)=C5,NCGC00254153-01,0
148,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,NCGC00260530-01,0
149,OCCN(CCO)C1=NC2=C(N=C(N=C2C(=N1)N3CCCCC3)N(CCO)CCO)N4CCCCC4,NCGC00015385-12,0
150,O.[K+].NC(=O)C1=NC(=N[N-]1)C2=CC=CC(=C2)C3=CC(F)=CC=C3OCC(F)(F)C(F)(F)F,NCGC00253991-01,0
151,[Na+].COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(N=C1C(C)C)C(C)C,NCGC00164625-02,0
152,O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=C1,NCGC00258325-01,1
153,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN2CCOCC2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]4(C)CO4,NCGC00249613-01,0
154,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)[C@@H](C)CC,NCGC00259026-01,0
155,C1=CC2=CC3=C(C=C2C=C1)C4=C5C3=CC=CC5=CC=C4,NCGC00258275-01,1
156,CO[C@H]1[C@@H](CC(=O)O[C@H](C)CC2OC2\C=C\C(=O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]3O[C@H](C)[C@@H](O[C@H]4C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O4)[C@@H]([C@H]3O)N(C)C)OC(C)=O,NCGC00181116-01,0
157,Cl.COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC3=CC=C(CN4[C@@H](C)CCC[C@H]4C)C=C3)C(=O)N(C)C(C)C)C5=CC6=C(OCO6)C=C5,NCGC00253992-01,0
158,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4,NCGC00254538-01,1
159,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C3=CC=CS3,NCGC00015647-05,1
160,NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C3=C1C=C(Cl)C(F)=C3,NCGC00254304-01,1
161,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(O)=O)C(C)(C)CCC2(C)C,NCGC00181016-01,0
162,CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC4=CC=C(C=C4)C5=C(C=CC=C5)C6=NN=NN6,NCGC00255218-01,0
163,OC1=CC=C(Cl)C=C1SC2=CC(Cl)=CC=C2O,NCGC00258514-01,0
164,[H][C@@]4(C[C@@H](C)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O1)OC)CC[C@@H](OCCO)[C@@H](C4)OC,NCGC00167512-01,0
165,[Na+].[Na+].[O-]C1=CC2=C(C=C1)C3(OC(=O)C4=C3C=CC=C4)C5=C(O2)C=C([O-])C=C5,NCGC00159347-02,0
166,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C4=C(O2)C5=C(O[C@H](C5)C(C)=C)C=C4,NCGC00254603-01,0
167,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C)[C@H](C)\C=C\[C@H](C)C(C)C,NCGC00259897-01,0
168,CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,NCGC00254167-01,0
169,Cl.CCCCCCCCCCCCN,NCGC00257552-01,0
170,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,NCGC00259236-01,0
171,CC1COC(CN2C=NC=N2)(O1)C3=C(Cl)C=C(OC4=CC=C(Cl)C=C4)C=C3,NCGC00255010-01,0
